Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
AGRICULTURAL SCIENCE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
BANKING & FINANCE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
HISTORY & INTERNATIONAL STUDIES,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,credit) in History/ Government and any other related subject.,"Language, Geography, Government/History.",subjects from the Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
LAW,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
MARKETING,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MASS COMMUNICATION,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
SOCIOLOGY,"EDWIN CLARK UNIVERSITY, KIAGBODO, DELTA STATE",EDWINCLARK,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
